"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C02","Taxes on Products","20091","2009Q1","-","State","Euro Million","5017"
"NAQ03C02","Taxes on Products","20092","2009Q2","-","State","Euro Million","3988"
"NAQ03C02","Taxes on Products","20093","2009Q3","-","State","Euro Million","5671"
"NAQ03C02","Taxes on Products","20094","2009Q4","-","State","Euro Million","4450"
"NAQ03C02","Taxes on Products","20101","2010Q1","-","State","Euro Million","5044"
"NAQ03C02","Taxes on Products","20102","2010Q2","-","State","Euro Million","3899"
"NAQ03C02","Taxes on Products","20103","2010Q3","-","State","Euro Million","5739"
"NAQ03C02","Taxes on Products","20104","2010Q4","-","State","Euro Million","4402"
"NAQ03C02","Taxes on Products","20111","2011Q1","-","State","Euro Million","5030"
"NAQ03C02","Taxes on Products","20112","2011Q2","-","State","Euro Million","3632"
"NAQ03C02","Taxes on Products","20113","2011Q3","-","State","Euro Million","5237"
"NAQ03C02","Taxes on Products","20114","2011Q4","-","State","Euro Million","4300"
"NAQ03C02","Taxes on Products","20121","2012Q1","-","State","Euro Million","4954"
"NAQ03C02","Taxes on Products","20122","2012Q2","-","State","Euro Million","3670"
"NAQ03C02","Taxes on Products","20123","2012Q3","-","State","Euro Million","5522"
"NAQ03C02","Taxes on Products","20124","2012Q4","-","State","Euro Million","4195"
"NAQ03C02","Taxes on Products","20131","2013Q1","-","State","Euro Million","5148"
"NAQ03C02","Taxes on Products","20132","2013Q2","-","State","Euro Million","3780"
"NAQ03C02","Taxes on Products","20133","2013Q3","-","State","Euro Million","5659"
"NAQ03C02","Taxes on Products","20134","2013Q4","-","State","Euro Million","4394"
"NAQ03C02","Taxes on Products","20141","2014Q1","-","State","Euro Million","5321"
"NAQ03C02","Taxes on Products","20142","2014Q2","-","State","Euro Million","4382"
"NAQ03C02","Taxes on Products","20143","2014Q3","-","State","Euro Million","5733"
"NAQ03C02","Taxes on Products","20144","2014Q4","-","State","Euro Million","5218"
"NAQ03C02","Taxes on Products","20151","2015Q1","-","State","Euro Million","5734"
"NAQ03C02","Taxes on Products","20152","2015Q2","-","State","Euro Million","4699"
"NAQ03C02","Taxes on Products","20153","2015Q3","-","State","Euro Million","6311"
"NAQ03C02","Taxes on Products","20154","2015Q4","-","State","Euro Million","5229"
"NAQ03C02","Taxes on Products","20161","2016Q1","-","State","Euro Million","6353"
"NAQ03C02","Taxes on Products","20162","2016Q2","-","State","Euro Million","5059"
"NAQ03C02","Taxes on Products","20163","2016Q3","-","State","Euro Million","6469"
"NAQ03C02","Taxes on Products","20164","2016Q4","-","State","Euro Million","5472"
"NAQ03C02","Taxes on Products","20171","2017Q1","-","State","Euro Million","6628"
"NAQ03C02","Taxes on Products","20172","2017Q2","-","State","Euro Million","4751"
"NAQ03C02","Taxes on Products","20173","2017Q3","-","State","Euro Million","6885"
"NAQ03C02","Taxes on Products","20174","2017Q4","-","State","Euro Million","5948"
"NAQ03C02","Taxes on Products","20181","2018Q1","-","State","Euro Million","6598"
"NAQ03C02","Taxes on Products","20182","2018Q2","-","State","Euro Million","4988"
"NAQ03C02","Taxes on Products","20183","2018Q3","-","State","Euro Million","7358"
"NAQ03C02","Taxes on Products","20184","2018Q4","-","State","Euro Million","5949"
"NAQ03C02","Taxes on Products","20191","2019Q1","-","State","Euro Million","7123"
"NAQ03C02","Taxes on Products","20192","2019Q2","-","State","Euro Million","5453"
"NAQ03C02","Taxes on Products","20193","2019Q3","-","State","Euro Million","7672"
"NAQ03C02","Taxes on Products","20194","2019Q4","-","State","Euro Million","6390"
"NAQ03C02","Taxes on Products","20201","2020Q1","-","State","Euro Million","5373"
"NAQ03C02","Taxes on Products","20202","2020Q2","-","State","Euro Million","4519"
"NAQ03C02","Taxes on Products","20203","2020Q3","-","State","Euro Million","7318"
"NAQ03C02","Taxes on Products","20204","2020Q4","-","State","Euro Million","6094"
"NAQ03C02","Taxes on Products","20211","2021Q1","-","State","Euro Million","6945"
"NAQ03C02","Taxes on Products","20212","2021Q2","-","State","Euro Million","5807"
"NAQ03C02","Taxes on Products","20213","2021Q3","-","State","Euro Million","8442"
"NAQ03C02","Taxes on Products","20214","2021Q4","-","State","Euro Million","7172"
"NAQ03C02","Taxes on Products","20221","2022Q1","-","State","Euro Million","8033"
"NAQ03C02","Taxes on Products","20222","2022Q2","-","State","Euro Million","5551"
"NAQ03C02","Taxes on Products","20223","2022Q3","-","State","Euro Million","8578"
"NAQ03C02","Taxes on Products","20224","2022Q4","-","State","Euro Million","6299"
"NAQ03C02","Taxes on Products","20231","2023Q1","-","State","Euro Million","7634"
"NAQ03C02","Taxes on Products","20232","2023Q2","-","State","Euro Million","5411"
"NAQ03C02","Taxes on Products","20233","2023Q3","-","State","Euro Million","8134"
"NAQ03C02","Taxes on Products","20234","2023Q4","-","State","Euro Million","6719"
"NAQ03C02","Taxes on Products","20241","2024Q1","-","State","Euro Million","8116"
"NAQ03C02","Taxes on Products","20242","2024Q2","-","State","Euro Million","5622"
"NAQ03C02","Taxes on Products","20243","2024Q3","-","State","Euro Million","8419"
"NAQ03C03","Subsidies on Products","19951","1995Q1","-","State","Euro Million","-412"
"NAQ03C03","Subsidies on Products","19952","1995Q2","-","State","Euro Million","-457"
"NAQ03C03","Subsidies on Products","19953","1995Q3","-","State","Euro Million","-709"
"NAQ03C03","Subsidies on Products","19954","1995Q4","-","State","Euro Million","-760"
"NAQ03C03","Subsidies on Products","19961","1996Q1","-","State","Euro Million","-476"
"NAQ03C03","Subsidies on Products","19962","1996Q2","-","State","Euro Million","-521"
"NAQ03C03","Subsidies on Products","19963","1996Q3","-","State","Euro Million","-812"
"NAQ03C03","Subsidies on Products","19964","1996Q4","-","State","Euro Million","-861"
"NAQ03C03","Subsidies on Products","19971","1997Q1","-","State","Euro Million","-540"
"NAQ03C03","Subsidies on Products","19972","1997Q2","-","State","Euro Million","-676"
"NAQ03C03","Subsidies on Products","19973","1997Q3","-","State","Euro Million","-598"
"NAQ03C03","Subsidies on Products","19974","1997Q4","-","State","Euro Million","-909"
"NAQ03C03","Subsidies on Products","19981","1998Q1","-","State","Euro Million","-508"
"NAQ03C03","Subsidies on Products","19982","1998Q2","-","State","Euro Million","-690"
"NAQ03C03","Subsidies on Products","19983","1998Q3","-","State","Euro Million","-514"
"NAQ03C03","Subsidies on Products","19984","1998Q4","-","State","Euro Million","-987"
"NAQ03C03","Subsidies on Products","19991","1999Q1","-","State","Euro Million","-482"
"NAQ03C03","Subsidies on Products","19992","1999Q2","-","State","Euro Million","-601"
"NAQ03C03","Subsidies on Products","19993","1999Q3","-","State","Euro Million","-550"
"NAQ03C03","Subsidies on Products","19994","1999Q4","-","State","Euro Million","-865"
"NAQ03C03","Subsidies on Products","20001","2000Q1","-","State","Euro Million","-604"
"NAQ03C03","Subsidies on Products","20002","2000Q2","-","State","Euro Million","-585"
"NAQ03C03","Subsidies on Products","20003","2000Q3","-","State","Euro Million","-412"
"NAQ03C03","Subsidies on Products","20004","2000Q4","-","State","Euro Million","-880"
"NAQ03C03","Subsidies on Products","20011","2001Q1","-","State","Euro Million","-398"
"NAQ03C03","Subsidies on Products","20012","2001Q2","-","State","Euro Million","-373"
"NAQ03C03","Subsidies on Products","20013","2001Q3","-","State","Euro Million","-498"
"NAQ03C03","Subsidies on Products","20014","2001Q4","-","State","Euro Million","-784"
"NAQ03C03","Subsidies on Products","20021","2002Q1","-","State","Euro Million","-452"
"NAQ03C03","Subsidies on Products","20022","2002Q2","-","State","Euro Million","-590"
"NAQ03C03","Subsidies on Products","20023","2002Q3","-","State","Euro Million","-559"
"NAQ03C03","Subsidies on Products","20024","2002Q4","-","State","Euro Million","-986"
"NAQ03C03","Subsidies on Products","20031","2003Q1","-","State","Euro Million","-464"
"NAQ03C03","Subsidies on Products","20032","2003Q2","-","State","Euro Million","-567"
"NAQ03C03","Subsidies on Products","20033","2003Q3","-","State","Euro Million","-578"
"NAQ03C03","Subsidies on Products","20034","2003Q4","-","State","Euro Million","-888"
"NAQ03C03","Subsidies on Products","20041","2004Q1","-","State","Euro Million","-570"
"NAQ03C03","Subsidies on Products","20042","2004Q2","-","State","Euro Million","-604"
"NAQ03C03","Subsidies on Products","20043","2004Q3","-","State","Euro Million","-501"
"NAQ03C03","Subsidies on Products","20044","2004Q4","-","State","Euro Million","-789"
"NAQ03C03","Subsidies on Products","20051","2005Q1","-","State","Euro Million","-326"
"NAQ03C03","Subsidies on Products","20052","2005Q2","-","State","Euro Million","-382"
"NAQ03C03","Subsidies on Products","20053","2005Q3","-","State","Euro Million","-356"
"NAQ03C03","Subsidies on Products","20054","2005Q4","-","State","Euro Million","-659"
"NAQ03C03","Subsidies on Products","20061","2006Q1","-","State","Euro Million","-277"
"NAQ03C03","Subsidies on Products","20062","2006Q2","-","State","Euro Million","-306"
"NAQ03C03","Subsidies on Products","20063","2006Q3","-","State","Euro Million","-394"
"NAQ03C03","Subsidies on Products","20064","2006Q4","-","State","Euro Million","-323"
"NAQ03C03","Subsidies on Products","20071","2007Q1","-","State","Euro Million","-319"
"NAQ03C03","Subsidies on Products","20072","2007Q2","-","State","Euro Million","-348"
"NAQ03C03","Subsidies on Products","20073","2007Q3","-","State","Euro Million","-438"
"NAQ03C03","Subsidies on Products","20074","2007Q4","-","State","Euro Million","-274"
"NAQ03C03","Subsidies on Products","20081","2008Q1","-","State","Euro Million","-381"
"NAQ03C03","Subsidies on Products","20082","2008Q2","-","State","Euro Million","-351"
"NAQ03C03","Subsidies on Products","20083","2008Q3","-","State","Euro Million","-410"
"NAQ03C03","Subsidies on Products","20084","2008Q4","-","State","Euro Million","-280"
"NAQ03C03","Subsidies on Products","20091","2009Q1","-","State","Euro Million","-318"
"NAQ03C03","Subsidies on Products","20092","2009Q2","-","State","Euro Million","-348"
"NAQ03C03","Subsidies on Products","20093","2009Q3","-","State","Euro Million","-386"
"NAQ03C03","Subsidies on Products","20094","2009Q4","-","State","Euro Million","-403"
"NAQ03C03","Subsidies on Products","20101","2010Q1","-","State","Euro Million","-322"
"NAQ03C03","Subsidies on Products","20102","2010Q2","-","State","Euro Million","-260"
"NAQ03C03","Subsidies on Products","20103","2010Q3","-","State","Euro Million","-337"
"NAQ03C03","Subsidies on Products","20104","2010Q4","-","State","Euro Million","-387"
"NAQ03C03","Subsidies on Products","20111","2011Q1","-","State","Euro Million","-281"
"NAQ03C03","Subsidies on Products","20112","2011Q2","-","State","Euro Million","-282"
"NAQ03C03","Subsidies on Products","20113","2011Q3","-","State","Euro Million","-317"
"NAQ03C03","Subsidies on Products","20114","2011Q4","-","State","Euro Million","-368"
"NAQ03C03","Subsidies on Products","20121","2012Q1","-","State","Euro Million","-267"
"NAQ03C03","Subsidies on Products","20122","2012Q2","-","State","Euro Million","-288"
"NAQ03C03","Subsidies on Products","20123","2012Q3","-","State","Euro Million","-314"
"NAQ03C03","Subsidies on Products","20124","2012Q4","-","State","Euro Million","-401"
"NAQ03C03","Subsidies on Products","20131","2013Q1","-","State","Euro Million","-275"
"NAQ03C03","Subsidies on Products","20132","2013Q2","-","State","Euro Million","-296"
"NAQ03C03","Subsidies on Products","20133","2013Q3","-","State","Euro Million","-323"
"NAQ03C03","Subsidies on Products","20134","2013Q4","-","State","Euro Million","-317"
"NAQ03C03","Subsidies on Products","20141","2014Q1","-","State","Euro Million","-241"
"NAQ03C03","Subsidies on Products","20142","2014Q2","-","State","Euro Million","-260"
"NAQ03C03","Subsidies on Products","20143","2014Q3","-","State","Euro Million","-281"
"NAQ03C03","Subsidies on Products","20144","2014Q4","-","State","Euro Million","-318"
"NAQ03C03","Subsidies on Products","20151","2015Q1","-","State","Euro Million","-218"
"NAQ03C03","Subsidies on Products","20152","2015Q2","-","State","Euro Million","-235"
"NAQ03C03","Subsidies on Products","20153","2015Q3","-","State","Euro Million","-262"
"NAQ03C03","Subsidies on Products","20154","2015Q4","-","State","Euro Million","-288"
"NAQ03C03","Subsidies on Products","20161","2016Q1","-","State","Euro Million","-230"
"NAQ03C03","Subsidies on Products","20162","2016Q2","-","State","Euro Million","-247"
